"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"473","Frejgatan 20, Stockholm","926","Segersminne","12/1/2019 - 12/31/2019, Every day, Daily Average",1268,933,1723
"473","Frejgatan 20, Stockholm","928","Storkällans kyrkogård","12/1/2019 - 12/31/2019, Every day, Daily Average",1413,1093,1825
"473","Frejgatan 20, Stockholm","930","Öringe","12/1/2019 - 12/31/2019, Every day, Daily Average",1492,1166,1908
"473","Frejgatan 20, Stockholm","934","Vårby arbetsomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1082,829,1411
"473","Frejgatan 20, Stockholm","935","Norra Farsta","12/1/2019 - 12/31/2019, Every day, Daily Average",1108,813,1508
"473","Frejgatan 20, Stockholm","936","Norra Lindalen","12/1/2019 - 12/31/2019, Every day, Daily Average",1409,1090,1820
"473","Frejgatan 20, Stockholm","938","Bollmora industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1451,1121,1877
"473","Frejgatan 20, Stockholm","941","Källbrink Vistaberg","12/1/2019 - 12/31/2019, Every day, Daily Average",1405,1096,1800
"473","Frejgatan 20, Stockholm","943","Skrubba","12/1/2019 - 12/31/2019, Every day, Daily Average",1371,1033,1819
"473","Frejgatan 20, Stockholm","945","Fridhem","12/1/2019 - 12/31/2019, Every day, Daily Average",1335,1041,1711
"473","Frejgatan 20, Stockholm","953","Östra Larsboda","12/1/2019 - 12/31/2019, Every day, Daily Average",1167,866,1571
"473","Frejgatan 20, Stockholm","963","Södra Hallunda","12/1/2019 - 12/31/2019, Every day, Daily Average",1197,926,1546
"473","Frejgatan 20, Stockholm","972","Norra Hanviken","12/1/2019 - 12/31/2019, Every day, Daily Average",1508,1124,2022
"473","Frejgatan 20, Stockholm","973","Trångsunds småhus","12/1/2019 - 12/31/2019, Every day, Daily Average",1233,921,1649
"473","Frejgatan 20, Stockholm","977","Sjödalen-Huddinge C","12/1/2019 - 12/31/2019, Every day, Daily Average",1362,1026,1806
"473","Frejgatan 20, Stockholm","983","Albyberget","12/1/2019 - 12/31/2019, Every day, Daily Average",1332,1022,1735
"473","Frejgatan 20, Stockholm","987","Fullersta Gård","12/1/2019 - 12/31/2019, Every day, Daily Average",1373,1070,1761
"473","Frejgatan 20, Stockholm","992","Tre Källor","12/1/2019 - 12/31/2019, Every day, Daily Average",1237,968,1580
"473","Frejgatan 20, Stockholm","996","Eriksbergs industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1428,1103,1847
"473","Frejgatan 20, Stockholm","998","Södra Hanviken","12/1/2019 - 12/31/2019, Every day, Daily Average",1504,1138,1986
"473","Frejgatan 20, Stockholm","1004","Vårdkasen","12/1/2019 - 12/31/2019, Every day, Daily Average",1397,1092,1786
"473","Frejgatan 20, Stockholm","1008","Grantorp","12/1/2019 - 12/31/2019, Every day, Daily Average",1454,1136,1860
"473","Frejgatan 20, Stockholm","1015","Västra Skogås","12/1/2019 - 12/31/2019, Every day, Daily Average",1253,943,1664
"473","Frejgatan 20, Stockholm","1016","Länna Drevviken","12/1/2019 - 12/31/2019, Every day, Daily Average",1294,987,1695
"473","Frejgatan 20, Stockholm","1028","Länna arbetsomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1303,990,1714
"473","Frejgatan 20, Stockholm","1029","Östra Oxelgrenshagen","12/1/2019 - 12/31/2019, Every day, Daily Average",1657,1330,2063
"473","Frejgatan 20, Stockholm","1062","Glasberga","12/1/2019 - 12/31/2019, Every day, Daily Average",1608,1284,2012
"473","Frejgatan 20, Stockholm","1063","Vega","12/1/2019 - 12/31/2019, Every day, Daily Average",1367,1042,1791
"473","Frejgatan 20, Stockholm","1084","Norra Söderby","12/1/2019 - 12/31/2019, Every day, Daily Average",1498,1156,1940
"473","Frejgatan 20, Stockholm","1117","Brandbergens industriomr","12/1/2019 - 12/31/2019, Every day, Daily Average",1542,1179,2016
"473","Frejgatan 20, Stockholm","1119","Norra Handen","12/1/2019 - 12/31/2019, Every day, Daily Average",1489,1125,1969
"473","Frejgatan 20, Stockholm","1167","Järvastaden norra","12/1/2019 - 12/31/2019, Every day, Daily Average",593,438,801
"473","Frejgatan 20, Stockholm","1168","Järvastaden södra","12/1/2019 - 12/31/2019, Every day, Daily Average",552,390,779
"473","Frejgatan 20, Stockholm","1169","Järvastaden östra","12/1/2019 - 12/31/2019, Every day, Daily Average",525,368,748
"473","Frejgatan 20, Stockholm","1170","Järvafältet","12/1/2019 - 12/31/2019, Every day, Daily Average",478,326,700
"473","Frejgatan 20, Stockholm","1171","Agnesberg","12/1/2019 - 12/31/2019, Every day, Daily Average",514,358,736
"473","Frejgatan 20, Stockholm","1172","Bagartorp","12/1/2019 - 12/31/2019, Every day, Daily Average",498,344,719
"473","Frejgatan 20, Stockholm","1173","Nya Ulriksdal","12/1/2019 - 12/31/2019, Every day, Daily Average",429,287,640
"473","Frejgatan 20, Stockholm","1174","Nationalarenan","12/1/2019 - 12/31/2019, Every day, Daily Average",685,439,1067
"473","Frejgatan 20, Stockholm","1175","Södra Frösunda","12/1/2019 - 12/31/2019, Every day, Daily Average",458,258,812
"473","Frejgatan 20, Stockholm","1176","Norra Frösunda","12/1/2019 - 12/31/2019, Every day, Daily Average",435,290,650
"473","Frejgatan 20, Stockholm","1177","Ulriksdals IP","12/1/2019 - 12/31/2019, Every day, Daily Average",616,402,943
"473","Frejgatan 20, Stockholm","1178","Ballongberget","12/1/2019 - 12/31/2019, Every day, Daily Average",508,331,779
"473","Frejgatan 20, Stockholm","1179","Solna station","12/1/2019 - 12/31/2019, Every day, Daily Average",380,245,588
"473","Frejgatan 20, Stockholm","1180","Stora Frösunda","12/1/2019 - 12/31/2019, Every day, Daily Average",303,182,503
"473","Frejgatan 20, Stockholm","1181","Brahelund","12/1/2019 - 12/31/2019, Every day, Daily Average",327,204,521
"473","Frejgatan 20, Stockholm","1182","Ingenting","12/1/2019 - 12/31/2019, Every day, Daily Average",702,460,1069
"473","Frejgatan 20, Stockholm","1183","Pampas marina","12/1/2019 - 12/31/2019, Every day, Daily Average",810,475,1379
"473","Frejgatan 20, Stockholm","1184","Råsundastadion","12/1/2019 - 12/31/2019, Every day, Daily Average",503,349,723
"473","Frejgatan 20, Stockholm","1185","Västra Hagalund","12/1/2019 - 12/31/2019, Every day, Daily Average",437,307,620
"473","Frejgatan 20, Stockholm","1186","Södra Råsunda","12/1/2019 - 12/31/2019, Every day, Daily Average",522,384,707
"473","Frejgatan 20, Stockholm","1187","Hästhagen","12/1/2019 - 12/31/2019, Every day, Daily Average",1834,1486,2263
"473","Frejgatan 20, Stockholm","1196","Gustavsbergs glesbygd V","12/1/2019 - 12/31/2019, Every day, Daily Average",1705,1344,2162
